Date,Horse,Fin,Tr,Dist.,Sf.,Race,Cnd,1st,2nd,,3rd,Time
10/28/73-R8,Secretariat,1st,WO,15/8m,T,CanadianInternational-G1,3+,Secretariat,BigSpruce,GoldenDon,2:41.80,
10/08/73-R7,Secretariat,1st,Bel,11/2m,T,ManO'WarStakes-G1,3+,Secretariat,Tentam,BigSpruce2:24.80,
09/29/73-R7,Secretariat,2nd,Bel,11/2m,D,Woodward-G1,3+,ProveOut,Secretariat,CougarII,2:25.80,
09/15/73-R7,Secretariat,1st,Bel,11/8m,D,MarlboroCupInvitationalHandicap-G1,3+,Secretariat,RivaRidge,CougarII,1:45.40,
08/04/73-R7,Secretariat,2nd,Sar,11/8m,D,Whitney-G2,3+,Onion,Secretariat,RuleByReason,1:49.20,
06/30/73-R8,Secretariat,1st,AP,11/8m,D,ArlingtonInvitationalStakes-G1,3+,Secretariat,MyGallant,OurNative,1:47.00,
06/09/73-R8,Secretariat,1st,Bel,11/2m,D,BelmontStakes-G1,3,Secretariat,TwiceAPrince,MyGallant,2:24.00,
05/19/73-R8,Secretariat,1st,Pim,13/16m,D,PreaknessStakes-G1,3,Secretariat,Sham,OurNative,1:53.00,
05/05/73-R9Secretariat,1st,CD,11/4m,D,KentuckyDerby-G1,3,Secretariat,Sham,OurNative,1:59.40,
04/21/73-R7,Secretariat,3rd,Aqu,11/8m,D,WoodMemorial-G1,3,AngleLight,Sham,Secretariat,1:49.80,
04/07/73-R7,Secretariat,1st,Aqu,1mile,D,Gotham-G2,3,Secretariat,ChampagneCharlie,Flush,1:33.40,
03/17/73-R7,Secretariat,1st,Aqu,7f,D,BayShore-G3,3,Secretariat,ChampagneCharlie,Impecunious,1:23.20,
11/18/72-R8,Secretariat,1st,GS,11/16m,D,GardenStateFuturity,2,Secretariat,AngleLight,StepNicely,1:44.24,
10/28/72-R7,Secretariat,1st,Lrl,11/16m,D,LaurelFuturity,2,Secretariat,StopTheMusic,AngleLight1:42.80,
10/14/72-R7,Secretariat,2nd,Bel,1mile,D,Champagne,2,StopTheMusic,Secretariat,StepNicely,1:35.00,
09/16/72-R7,Secretariat,1st,Bel,61/2f,D,Futurity,2,Secretariat,StopTheMusic,SwiftCourier,1:16.40,
08/26/72-R7,Secretariat,1st,Sar,61/2f,D,Hopeful,2,Secretariat,FlightToGlory,StopTheMusic,1:16.20,
08/16/72-R7,Secretariat,1st,Sar,6f,D,Sanford,2,Secretariat,Linda'sChief,NorthstarDancer,1:10.00,
07/31/72-R4Secretariat,1st,Sar,6f,D,Allow,2,Secretariat,RussMiron,JoeIz,1:10.80,
07/15/72-R4Secretariat,1st,Aqu,6f,D,MSW,2,Secretariat,MasterAchiever,BeOnIt,1:10.60,
07/04/72-R2Secretariat,4th,Aqu,51/2f,D,MSW,2,Herbull,MasterAchiever,FleetNRoyal,1:05.00,
